TIMECARD TABLE
+-----------+----------+---------+
|PHYSICIANID|CARDDATE  |WORKHOURS|
+-----------+----------+---------+
|D01        |2022-01-31|8        |
|D02        |2022-01-31|8        |
|D03        |2022-01-31|8        |
|D04        |2022-01-31|8        |
|D05        |2022-01-31|8        |
|D06        |2022-01-31|8        |
|D07        |2022-01-31|8        |
|D08        |2022-01-31|8        |
|D09        |2022-01-31|8        |
|D10        |2022-01-31|8        |
|D11        |2022-01-31|8        |
|D12        |2022-01-31|8        |
|D01        |2022-02-05|7        |
|D02        |2022-02-05|8        |
|D03        |2022-02-05|10       |
|D04        |2022-02-05|8        |
|D05        |2022-02-05|8        |
|D06        |2022-02-05|5        |
|D07        |2022-02-05|8        |
|D08        |2022-02-05|8        |
|D09        |2022-02-05|4        |
|D10        |2022-02-05|8        |
|D11        |2022-02-05|3        |
|D12        |2022-02-05|8        |
|D01        |2022-03-03|8        |
|D02        |2022-03-03|8        |
|D03        |2022-03-03|8        |
|D04        |2022-03-03|8        |
|D05        |2022-03-03|8        |
|D06        |2022-03-03|8        |
|D07        |2022-03-03|8        |
|D08        |2022-03-03|8        |
|D09        |2022-03-03|8        |
|D10        |2022-03-03|8        |
|D11        |2022-03-03|8        |
|D12        |2022-03-03|8        |
+-----------+----------+---------+
